TotalSentimentScore,Vaccine,Death,Shut,Date
0.0037692307692307556,3,3,1,07/19/2020
0.027836263736263737,16,2,4,07/20/2020
-0.04662173913043479,8,6,3,07/21/2020
0.021041489361702127,5,7,1,07/22/2020
0.030630379746835443,4,9,0,07/23/2020
-0.018806896551724135,5,8,4,07/24/2020
0.019964383561643814,0,5,2,07/25/2020
-0.08864571428571426,1,8,3,07/26/2020
0.00656695652173911,5,4,7,07/27/2020
-0.004162264150943395,7,6,1,07/28/2020
-0.036921875,3,8,1,07/29/2020
-0.04439897959183672,4,14,3,07/30/2020
-0.05079687499999999,5,7,3,07/31/2020
-0.09556354166666664,2,5,5,08/01/2020
-0.03398139534883722,4,6,1,08/02/2020
-0.06079811320754715,3,13,2,08/03/2020
0.020259999999999993,4,8,5,08/04/2020
-0.08231604938271607,6,5,3,08/05/2020
-0.115483870967742,1,9,5,08/06/2020
-0.014996226415094347,11,7,4,08/07/2020
-0.01775844155844156,5,12,2,08/08/2020
-0.024007368421052635,4,16,1,08/09/2020
-0.0501359375,2,3,1,08/10/2020
-0.015714184397163124,41,7,14,08/11/2020
0.009455294117647055,15,8,1,08/12/2020
-0.054913861386138615,12,5,5,08/13/2020
-0.0027202531645569524,7,3,3,08/14/2020
0.07509736842105263,10,1,3,08/15/2020
0.019682539682539694,5,3,3,08/16/2020
-0.06376666666666667,3,2,1,08/17/2020
-0.03297547169811322,6,3,4,08/18/2020
0.05694,6,0,1,08/19/2020
-0.06509411764705883,9,4,1,08/20/2020
-0.07466718750000001,4,1,2,08/21/2020
-0.10150344827586207,4,6,1,08/22/2020
-0.12055,2,6,1,08/23/2020
-0.021650632911392416,8,3,2,08/24/2020
0.005292753623188409,3,1,5,08/25/2020
-0.028576562499999996,3,7,1,08/26/2020
-0.04133103448275863,2,4,2,08/27/2020
0.09320769230769232,6,2,2,08/28/2020
-0.048456603773584905,4,5,0,08/29/2020
-0.09342692307692306,4,9,2,08/30/2020
0.03557346938775508,7,5,0,08/31/2020
-0.1387854166666667,3,7,1,09/01/2020
0.07555714285714286,8,2,0,09/02/2020
0.07284259259259261,6,1,2,09/03/2020
3.809523809523456e-05,11,4,3,09/04/2020
-0.08964857142857145,6,5,2,09/05/2020
-0.10276875,4,3,4,09/06/2020
-0.08281206896551725,6,2,0,09/07/2020
-0.040374193548387095,10,2,1,09/08/2020
-0.07746825396825396,12,4,2,09/09/2020
0.0021937499999999874,2,4,6,09/10/2020
-0.08430333333333333,2,6,1,09/11/2020
-0.04544782608695653,5,2,0,09/12/2020
0.02465853658536585,1,3,3,09/13/2020
-0.04204142857142856,3,5,4,09/14/2020
-0.10479836065573772,4,2,5,09/15/2020
0.02340862068965517,5,3,5,09/16/2020
-0.07658846153846152,7,0,3,09/17/2020
-0.0532192307692308,5,1,7,09/18/2020
-0.02508461538461538,4,3,1,09/19/2020
-0.11132075471698112,4,7,7,09/20/2020
-0.0038785714285714265,5,7,8,09/21/2020
-0.1157279069767442,2,5,1,09/22/2020
-0.04887884615384615,4,4,0,09/23/2020
0.045936111111111115,5,2,1,09/24/2020
0.02476,4,6,0,09/25/2020
-0.06433684210526318,2,3,1,09/26/2020
-0.11401363636363637,5,3,2,09/27/2020
-0.05014318181818181,0,7,3,09/28/2020
-0.1428575,5,5,0,09/29/2020
-0.09155853658536586,4,2,7,09/30/2020
0.02325901639344263,5,3,4,10/01/2020
0.35042008368200867,3,2,4,10/02/2020
0.022251612903225776,1,5,1,10/03/2020
-0.05978196721311475,2,6,1,10/04/2020
-0.0004513157894736831,0,3,4,10/05/2020
-0.06805555555555554,4,4,2,10/06/2020
0.08731147540983605,1,2,5,10/07/2020
0.0017622222222222323,1,6,2,10/08/2020
-0.062276470588235294,1,5,4,10/09/2020
-0.0058911764705882295,0,3,1,10/10/2020
-0.1470604651162791,2,7,8,10/11/2020
-0.11349107142857141,9,10,7,10/12/2020
-0.059344615384615385,8,7,4,10/13/2020
-0.01929999999999999,5,4,5,10/14/2020
0.004865217391304336,2,4,4,10/15/2020
-0.15363541666666666,1,4,0,10/16/2020
-0.0582468085106383,3,4,3,10/17/2020
-0.18097804878048782,3,4,0,10/18/2020
0.07811874999999999,0,1,7,10/19/2020
-0.007418604651162778,5,2,4,10/20/2020
-0.09948142857142858,16,17,0,10/21/2020
0.07265090909090909,4,1,3,10/22/2020
-0.08009333333333335,4,7,3,10/23/2020
-0.045723255813953485,1,1,1,10/24/2020
-0.04890869565217391,3,1,3,10/25/2020
-0.04509615384615384,6,4,3,10/26/2020
-0.10951090909090913,5,8,2,10/27/2020
-0.030883076923076937,4,4,8,10/28/2020
-0.05248367346938775,3,1,6,10/29/2020
0.14394444444444443,1,0,0,10/30/2020
