TotalSentimentScore,Vaccine,Death,Shut,Date,Price,Stock Splits
0.08586153846153845,0,0,0,02/11/2020,88.68000030517578,0
-0.09802142857142858,2,3,1,02/12/2020,88.27999877929688,0
-0.09316666666666666,0,3,0,02/13/2020,89.86000061035156,0
0.00919,0,1,2,02/14/2020,90.94999694824219,0
0.0,1,0,0,02/15/2020,93.66999816894531,0
-0.1998,0,0,1,02/16/2020,95.02999877929688,0
-0.190725,1,0,0,02/17/2020,95.70999908447266,0
-0.034313333333333335,0,2,0,02/18/2020,96.38999938964844,0
-0.1442625,0,0,0,02/19/2020,103.93000030517578,0
-0.01627272727272727,0,1,0,02/20/2020,105.29000091552734,0
-0.1702,0,0,0,02/21/2020,101.76000213623047,0
-0.0222375,3,1,1,02/22/2020,103.38500213623047,0
0.013118181818181827,0,0,0,02/23/2020,104.19750213623047,0
-0.21864166666666665,1,1,0,02/24/2020,105.01000213623047,0
0.006063636363636361,0,0,1,02/25/2020,107.08000183105469,0
-0.09036470588235294,1,2,0,02/26/2020,106.87999725341797,0
0.04321111111111112,2,0,1,02/27/2020,113.55000305175781,0
-0.01948888888888889,2,1,1,02/28/2020,105.0,0
-0.1313953488372093,0,9,0,02/29/2020,109.05500030517578,0
-0.08132222222222223,0,0,1,03/01/2020,111.08250045776367,0
-0.1172967741935484,2,1,2,03/02/2020,113.11000061035156,0
-0.11209000000000001,0,3,0,03/03/2020,117.47000122070312,0
-0.17315333333333335,1,4,2,03/04/2020,116.80000305175781,0
-0.0402525,0,5,0,03/05/2020,125.0,0
-0.103,0,4,2,03/06/2020,114.31999969482422,0
-0.11220000000000002,0,2,1,03/07/2020,114.03499984741211,0
-0.01770000000000001,1,1,0,03/08/2020,113.89249992370605,0
-0.09958799999999997,0,3,3,03/09/2020,113.75,0
-0.12865230769230768,3,1,4,03/10/2020,108.48999786376953,0
0.018476999999999997,2,6,7,03/11/2020,110.30000305175781,0
0.031568345323741004,3,5,10,03/12/2020,109.47000122070312,0
-0.022159398496240608,1,4,4,03/13/2020,107.47000122070312,0
-0.05112872340425532,0,5,5,03/14/2020,107.66500091552734,0
-0.04098085106382979,3,3,11,03/15/2020,107.76250076293945,0
-0.053391333333333325,13,5,9,03/16/2020,107.86000061035156,0
-0.08616097560975608,2,6,8,03/17/2020,111.0999984741211,0
-0.08523630573248406,1,11,7,03/18/2020,118.70999908447266,0
-0.06623120567375886,1,15,6,03/19/2020,123.7699966430664,0
-0.07538857142857143,2,11,3,03/20/2020,130.5500030517578,0
-0.02585445544554457,2,10,4,03/21/2020,145.05500030517578,0
-0.006978723404255318,0,7,8,03/22/2020,152.30749893188477,0
-0.02661953125,2,6,14,03/23/2020,159.55999755859375,0
-0.13468777777777774,0,23,19,03/24/2020,135.17999267578125,0
0.002523809523809517,0,23,8,03/25/2020,138.11000061035156,0
-0.07002027027027025,2,16,8,03/26/2020,141.14999389648438,0
0.06567703349282299,1,17,7,03/27/2020,151.6999969482422,0
-0.062412499999999975,0,14,8,03/28/2020,151.29000091552734,0
-0.1238496,1,19,8,03/29/2020,151.08500289916992,0
-0.13054062499999994,0,9,12,03/30/2020,150.8800048828125,0
-0.0830495867768595,2,16,8,03/31/2020,146.1199951171875,0
-0.11649999999999998,5,17,5,04/01/2020,137.0,0
-0.09137456647398848,12,17,11,04/02/2020,121.93000030517578,0
-0.1341472222222223,2,13,10,04/03/2020,128.1999969482422,0
-0.14058239999999994,0,19,8,04/04/2020,125.56999969482422,0
-0.011649612403100784,4,9,8,04/05/2020,124.25500106811523,0
-0.03320421686746989,3,3,7,04/06/2020,122.94000244140625,0
-0.038659537572254335,3,16,9,04/07/2020,113.75,0
-0.08085757575757574,1,17,7,04/08/2020,117.80999755859375,0
-0.1409385714285714,1,11,11,04/09/2020,124.51000213623047,0
-0.07829612403100772,1,12,1,04/10/2020,130.2150001525879,0
-0.10621428571428568,3,22,6,04/11/2020,133.0674991607666,0
-0.13793809523809514,0,15,9,04/12/2020,134.49374866485596,0
-0.11551629629629627,2,12,4,04/13/2020,135.9199981689453,0
-0.08317625899280576,5,16,4,04/14/2020,141.88999938964844,0
-0.08478807947019865,6,10,8,04/15/2020,151.55999755859375,0
-0.059981045751634,0,14,9,04/16/2020,150.25999450683594,0
-0.07371879194630873,3,24,6,04/17/2020,150.05999755859375,0
-0.06450952380952382,1,7,11,04/18/2020,149.5250015258789,0
-0.04013333333333333,1,8,3,04/19/2020,149.25750350952148,0
-0.1470669354838709,2,11,9,04/20/2020,148.99000549316406,0
-0.02637299270072992,8,15,4,04/21/2020,143.27000427246094,0
-0.11210896551724138,9,5,3,04/22/2020,150.25,0
-0.1104503937007874,9,3,4,04/23/2020,169.08999633789062,0
-0.025981751824817528,11,14,7,04/24/2020,158.8000030517578,0
-0.1705122641509434,4,18,3,04/25/2020,161.70000457763672,0
-0.11781978021978018,2,9,10,04/26/2020,163.15000534057617,0
-0.11018059701492536,5,14,15,04/27/2020,164.60000610351562,0
-0.0970171171171171,4,12,3,04/28/2020,156.72000122070312,0
-0.0753269230769231,3,16,4,04/29/2020,146.47999572753906,0
-0.04114166666666667,4,7,7,04/30/2020,135.1699981689453,0
-0.03446428571428571,4,9,7,05/01/2020,138.55999755859375,0
-0.08819012345679011,4,5,6,05/02/2020,141.0,0
-0.10146626506024098,1,14,7,05/03/2020,142.22000122070312,0
-0.03669719626168224,7,6,3,05/04/2020,143.44000244140625,0
-0.10124883720930232,3,15,8,05/05/2020,144.82000732421875,0
-0.14949772727272728,5,18,3,05/06/2020,149.58999633789062,0
