TotalSentimentScore,Vaccine,Death,Shut,Spread,Date,Death_Count_Day,Positive_Count_Day
-0.018688991,1,8,4,2,06/08/20,106708,1953938
-0.016057143,2,3,4,7,06/09/20,107609,1971089
-0.044966102,2,3,4,3,06/10/20,108493,1991816
-0.006745833,2,5,2,2,06/11/20,109392,2013887
-0.03794375,0,4,3,5,06/12/20,110155,2036983
-0.049520833,5,5,4,0,06/13/20,110845,2062228
-0.033991429,0,3,1,1,06/14/20,111200,2083561
0.103971795,2,7,3,0,06/15/20,111606,2102215
0.040906767,1,14,2,1,06/16/20,112312,2125483
0.052847368,1,7,4,2,06/17/20,113106,2149389
0.158571084,3,3,3,1,06/18/20,113799,2176478
0.122945238,1,4,2,0,06/19/20,114455,2207437
-0.083074359,1,4,1,1,06/20/20,115066,2239388
-0.044634694,0,3,1,2,06/21/20,115359,2268236
-0.095276596,5,6,1,4,06/22/20,115653,2295415
0.095942254,4,2,3,2,06/23/20,116378,2329300
-0.118416667,2,8,3,2,06/24/20,117085,2368309
0.009340909,1,2,2,0,06/25/20,117748,2407990
-0.061566667,3,4,3,1,06/26/20,118372,2452369
0.039880851,2,2,2,0,06/27/20,118874,2495262
-0.116847273,0,6,2,2,06/28/20,119145,2536594
0.004345679,5,4,5,1,06/29/20,119503,2576359
-0.025873529,9,2,3,5,06/30/20,120087,2623989
-0.052747619,4,3,2,1,07/01/20,120776,2674990
0.127334211,3,3,5,1,07/02/20,121472,2728498
0.088253125,3,5,3,0,07/03/20,122074,2782186
-0.082382857,3,6,1,3,07/04/20,122374,2836330
-0.009948936,0,2,5,1,07/05/20,122581,2881497
0.08967395,0,8,7,2,07/06/20,122847,2922991
0.109998013,6,4,3,4,07/07/20,123752,2974733
-0.080008602,3,4,3,1,07/08/20,124564,3037469
-0.084863636,2,8,4,1,07/09/20,125464,3096428
-0.098377922,1,5,5,1,07/10/20,126286,3163252
-0.04910411,2,7,2,2,07/11/20,127038,3225576
-0.062692308,5,10,1,5,07/12/20,127512,3286548
-0.01408022,7,10,2,0,07/13/20,127843,3344151
-0.005283146,10,9,2,1,07/14/20,128582,3406885
-0.060750746,10,8,6,3,07/15/20,129442,3472503
-0.016558442,23,4,2,0,07/16/20,130395,3542952
-0.086365116,6,8,2,3,07/17/20,131331,3619170
-0.138466667,0,3,1,2,07/18/20,132204,3683593
0.003769231,3,3,1,3,07/19/20,132731,3747308
0.027836264,16,2,4,3,07/20/20,133100,3804244
-0.046621739,8,6,3,5,07/21/20,134169,3867869
0.021041489,5,7,1,4,07/22/20,135303,3937215
0.03063038,4,9,0,7,07/23/20,136364,4008440
-0.018806897,5,8,4,3,07/24/20,137556,4083294
0.019964384,0,5,2,3,07/25/20,138561,4147670
-0.088645714,1,8,3,5,07/26/20,139121,4207793
0.006566957,5,4,7,3,07/27/20,140186,4262807
-0.004162264,7,6,1,3,07/28/20,141314,4321791
-0.036921875,3,8,1,4,07/29/20,142805,4385732
-0.04439898,4,14,3,1,07/30/20,144053,4454538
-0.050796875,5,7,3,2,07/31/20,145366,4522068
-0.095563542,2,5,5,2,08/01/20,146558,4582313
-0.033981395,4,6,1,3,08/02/20,147052,4628823
-0.060798113,3,13,2,8,08/03/20,147588,4678171
0.02026,4,8,5,1,08/04/20,148827,4729986
-0.082316049,6,5,3,1,08/05/20,150187,4782450
-0.115483871,1,9,5,6,08/06/20,151435,4836253
-0.014996226,11,7,4,4,08/07/20,152768,4897089
-0.017758442,5,12,2,5,08/08/20,153852,4950173
-0.024007368,4,16,1,3,08/09/20,154466,5000326
-0.050135938,2,3,1,1,08/10/20,154901,5042069
-0.015714184,41,7,14,17,08/11/20,156224,5097499
0.009455294,15,8,1,1,08/12/20,157742,5153393
-0.054913861,12,5,5,7,08/13/20,158906,5205014
-0.002720253,7,3,3,3,08/14/20,160125,5262107
0.075097368,10,1,3,1,08/15/20,161343,5317917
0.01968254,5,3,3,4,08/16/20,161961,5360239
-0.063766667,3,2,1,0,08/17/20,162380,5397650
-0.032975472,6,3,4,0,08/18/20,163575,5438142
0.05694,6,0,1,4,08/19/20,164999,5483024
-0.065094118,9,4,1,1,08/20/20,166133,5526747
-0.074667188,4,1,2,3,08/21/20,167243,5572942
-0.101503448,4,6,1,3,08/22/20,168271,5618664
-0.12055,2,6,1,1,08/23/20,168845,5655989
-0.021650633,8,3,2,1,08/24/20,169197,5690238
0.005292754,3,1,5,2,08/25/20,170337,5726826
-0.028576562,3,7,1,8,08/26/20,171642,5770453
-0.041331034,2,4,2,3,08/27/20,172766,5814369
0.093207692,6,2,2,1,08/28/20,173792,5860495
-0.048456604,4,5,0,1,08/29/20,174800,5904458
-0.093426923,4,9,2,0,08/30/20,175274,5943743
0.035573469,7,5,0,0,08/31/20,175656,5975013
-0.138785417,3,7,1,1,09/01/20,176678,6017434
0.075557143,8,2,0,1,09/02/20,177704,6047651
0.072842593,6,1,2,1,09/03/20,178780,6092272
3.81E-05,11,4,3,1,09/04/20,179776,6143785
-0.089648571,6,5,2,0,09/05/20,180697,6188529
-0.10276875,4,3,4,0,09/06/20,181144,6221450
-0.082812069,6,2,0,2,09/07/20,181370,6249594
-0.040374194,10,2,1,2,09/08/20,181722,6271730
-0.077468254,12,4,2,1,09/09/20,182824,6302903
0.00219375,2,4,6,1,09/10/20,183985,6340205
