TotalSentimentScore,Vaccine,Death,Shut,Spread,Date,Death_Count_Day,Positive_Count_Day,AvgTravel,Price
-0.064509524,1,7,11,5,04/18/20,36621,731895,2.754444444,25.385000228881836
-0.040133333,1,8,3,3,04/19/20,38384,759174,2.754444444,25.202500343322754
-0.147066935,2,11,9,4,04/20/20,40199,785279,2.754444444,25.020000457763672
-0.026372992999999997,8,15,4,1,04/21/20,42680,811492,2.754444444,24.290000915527344
-0.11210896599999999,9,5,3,5,04/22/20,44762,840628,2.754444444,23.389999389648438
-0.11045039400000001,9,3,4,4,04/23/20,46576,872598,2.754444444,24.799999237060547
-0.025981752,11,14,7,3,04/24/20,48548,906872,2.754444444,25.770000457763672
-0.170512264,4,18,3,5,04/25/20,50175,942523,2.754444444,26.440000534057617
-0.11781978,2,9,10,5,04/26/20,51397,969581,2.754444444,26.77500057220459
-0.11018059699999999,5,14,15,12,04/27/20,52684,992176,2.754444444,27.110000610351562
-0.09701711699999999,4,12,3,5,04/28/20,54761,1017548,2.754444444,29.270000457763672
-0.075326923,3,16,4,3,04/29/20,57446,1043774,2.754444444,31.799999237060547
-0.041141667,4,7,7,3,04/30/20,59599,1073745,2.754444444,30.950000762939453
-0.034464286000000004,4,9,7,5,05/01/20,61407,1106547,2.83655914,27.219999313354492
-0.08819012300000001,4,5,6,4,05/02/20,62938,1135581,2.83655914,26.69499969482422
-0.101466265,1,14,7,2,05/03/20,64181,1161121,2.83655914,26.432499885559082
-0.036697196,7,6,3,2,05/04/20,65209,1183622,2.83655914,26.170000076293945
-0.101248837,3,15,8,3,05/05/20,67703,1206134,2.83655914,24.829999923706055
-0.149497727,5,18,3,2,05/06/20,69619,1231277,2.83655914,24.010000228881836
-0.050047,3,16,5,3,05/07/20,72371,1258504,2.83655914,24.06999969482422
-0.08660467300000001,2,10,4,7,05/08/20,74152,1285663,2.83655914,29.450000762939453
-0.075583784,3,7,3,4,05/09/20,75608,1310843,2.83655914,28.710000038146973
-0.066608696,2,9,4,2,05/10/20,76640,1331733,2.83655914,28.339999675750732
-0.056560674000000005,3,9,4,2,05/11/20,77534,1350031,2.83655914,27.969999313354492
-0.075010638,3,11,1,3,05/12/20,79040,1372589,2.83655914,25.90999984741211
-0.10813482099999999,5,10,6,7,05/13/20,80774,1394217,2.83655914,23.989999771118164
-0.055482243,3,5,6,2,05/14/20,82626,1420930,2.83655914,23.059999465942383
-0.054861957,6,10,3,2,05/15/20,83889,1446352,2.83655914,24.040000915527344
-0.017474648,4,6,5,5,05/16/20,85084,1469938,2.83655914,25.4950008392334
-0.115139683,0,6,3,3,05/17/20,85934,1490090,2.83655914,26.222500801086426
-0.063318889,3,7,7,7,05/18/20,86823,1510934,2.83655914,26.950000762939453
0.008072632,5,12,9,0,05/19/20,88155,1531816,2.83655914,25.989999771118164
-0.015985526,4,7,2,5,05/20/20,89545,1553075,2.83655914,27.520000457763672
-0.02051791,4,9,2,2,05/21/20,90972,1579817,2.83655914,28.18000030517578
-0.072951899,5,11,0,6,05/22/20,92275,1603990,2.83655914,28.18000030517578
-0.053186207,4,6,3,2,05/23/20,93310,1626355,2.83655914,29.425000190734863
-0.134467347,1,6,4,2,05/24/20,93994,1645215,2.83655914,30.047500133514404
0.008165,8,4,2,1,05/25/20,94548,1663746,2.83655914,30.358750104904175
-0.08674470599999999,3,7,1,2,05/26/20,95220,1680724,2.83655914,30.670000076293945
-0.04062449,0,6,1,1,05/27/20,96536,1700135,2.83655914,34.290000915527344
-0.060927083,0,6,1,2,05/28/20,97778,1722794,2.83655914,32.66999816894531
-0.08816666699999999,2,3,0,6,05/29/20,98947,1746382,2.83655914,32.06999969482422
-0.215438298,1,2,5,4,05/30/20,99865,1769819,2.83655914,32.55999946594238
-0.231273077,0,3,0,0,05/31/20,100516,1791211,2.83655914,32.804999351501465
-0.07961428599999999,0,4,3,2,06/01/20,101187,1811573,2.95,33.04999923706055
-0.07595194799999999,0,4,0,0,06/02/20,102187,1831728,2.95,34.060001373291016
-0.058715872999999995,1,9,4,1,06/03/20,103167,1851883,2.95,36.90999984741211
-0.14250289900000002,3,6,5,2,06/04/20,104031,1872266,2.95,40.029998779296875
-0.159285075,1,8,1,2,06/05/20,104875,1895332,2.95,42.619998931884766
-0.164892593,0,10,1,3,06/06/20,105586,1917890,2.95,44.920000076293945
-0.098356604,2,6,0,1,06/07/20,106032,1936708,2.95,46.070000648498535
-0.018688991000000002,1,8,4,2,06/08/20,106708,1953938,2.95,47.220001220703125
-0.016057143,2,3,4,7,06/09/20,107609,1971089,2.95,43.900001525878906
-0.044966102,2,3,4,3,06/10/20,108493,1991816,2.95,37.47999954223633
-0.0067458330000000006,2,5,2,2,06/11/20,109392,2013887,2.95,30.889999389648438
-0.03794375,0,4,3,5,06/12/20,110155,2036983,2.95,34.560001373291016
-0.049520833,5,5,4,0,06/13/20,110845,2062228,2.95,34.989999771118164
-0.033991429,0,3,1,1,06/14/20,111200,2083561,2.95,35.20499897003174
0.103971795,2,7,3,0,06/15/20,111606,2102215,2.95,35.41999816894531
0.040906767000000004,1,14,2,1,06/16/20,112312,2125483,2.95,36.68000030517578
0.052847368,1,7,4,2,06/17/20,113106,2149389,2.95,34.54999923706055
0.158571084,3,3,3,1,06/18/20,113799,2176478,2.95,35.08000183105469
0.12294523800000001,1,4,2,0,06/19/20,114455,2207437,2.95,33.52000045776367
-0.083074359,1,4,1,1,06/20/20,115066,2239388,2.95,33.09499931335449
-0.044634694,0,3,1,2,06/21/20,115359,2268236,2.95,32.8824987411499
-0.09527659599999999,5,6,1,4,06/22/20,115653,2295415,2.95,32.66999816894531
0.095942254,4,2,3,2,06/23/20,116378,2329300,2.95,32.91999816894531
-0.11841666699999999,2,8,3,2,06/24/20,117085,2368309,2.95,29.709999084472656
0.009340909,1,2,2,0,06/25/20,117748,2407990,2.95,31.31999969482422
-0.061566667,3,4,3,1,06/26/20,118372,2452369,2.95,30.579999923706055
0.039880851,2,2,2,0,06/27/20,118874,2495262,2.95,31.72000026702881
-0.116847273,0,6,2,2,06/28/20,119145,2536594,2.95,32.290000438690186
0.004345679,5,4,5,1,06/29/20,119503,2576359,2.95,32.86000061035156
-0.025873529,9,2,3,5,06/30/20,120087,2623989,2.95,32.619998931884766
-0.052747619,4,3,2,1,07/01/20,120776,2674990,3.083870968,31.399999618530273
0.127334211,3,3,5,1,07/02/20,121472,2728498,3.083870968,30.959999084472656
0.088253125,3,5,3,0,07/03/20,122074,2782186,3.083870968,31.464999198913574
-0.082382857,3,6,1,3,07/04/20,122374,2836330,3.083870968,31.717499256134033
-0.009948936,0,2,5,1,07/05/20,122581,2881497,3.083870968,31.843749284744263
0.08967395,0,8,7,2,07/06/20,122847,2922991,3.083870968,31.969999313354492
0.109998013,6,4,3,4,07/07/20,123752,2974733,3.083870968,30.3799991607666
-0.080008602,3,4,3,1,07/08/20,124564,3037469,3.083870968,30.030000686645508
-0.08486363599999999,2,8,4,1,07/09/20,125464,3096428,3.083870968,28.09000015258789
-0.09837792199999999,1,5,5,1,07/10/20,126286,3163252,3.083870968,30.09000015258789
-0.04910411,2,7,2,2,07/11/20,127038,3225576,3.083870968,29.914999961853027
-0.062692308,5,10,1,5,07/12/20,127512,3286548,3.083870968,29.827499866485596
-0.01408022,7,10,2,0,07/13/20,127843,3344151,3.083870968,29.739999771118164
-0.005283146,10,9,2,1,07/14/20,128582,3406885,3.083870968,30.100000381469727
-0.060750745999999994,10,8,6,3,07/15/20,129442,3472503,3.083870968,32.41999816894531
-0.016558442,23,4,2,0,07/16/20,130395,3542952,3.083870968,30.959999084472656
-0.08636511599999999,6,8,2,3,07/17/20,131331,3619170,3.083870968,30.260000228881836
-0.138466667,0,3,1,2,07/18/20,132204,3683593,3.083870968,29.510000228881836
0.0037692309999999996,3,3,1,3,07/19/20,132731,3747308,3.083870968,29.135000228881836
0.027836264,16,2,4,3,07/20/20,133100,3804244,3.083870968,28.760000228881836
-0.046621739,8,6,3,5,07/21/20,134169,3867869,3.083870968,28.68000030517578
0.021041489,5,7,1,4,07/22/20,135303,3937215,3.083870968,28.440000534057617
0.03063038,4,9,0,7,07/23/20,136364,4008440,3.083870968,29.020000457763672
